seed_x,seed_y
0.969289,0.0499553
0.938524,0.806031
0.795298,0.400901
0.763003,0.0175843
0.9935,0.252176
0.572467,0.138322
0.281023,0.513053
0.84684,0.385377
0.454079,0.593096
0.687224,0.949147
0.0706797,0.2926
0.159873,0.959662
0.395548,0.45861
0.450578,0.236294
0.010053,0.290237
0.472109,0.912675
0.614298,0.753404
0.314374,0.776303
0.337443,0.786511
0.903378,0.954472
0.0618098,0.0110726
0.729845,0.282718
0.907404,0.203794
0.442717,0.351179
0.385915,0.923181
0.0751234,0.624234
0.774169,0.639221
0.741557,0.953894
0.77296,0.604859
0.246662,0.917656
