seed_x,seed_y
0.609903,0.178963
0.762824,0.485797
0.558152,0.155798
0.821032,0.333157
0.591345,0.459259
0.490831,0.0357305
0.59625,0.734419
0.840887,0.339242
0.296232,0.329998
0.767903,0.754914
0.1085,0.0321429
0.108819,0.695944
0.192523,0.490746
0.248216,0.32325
0.0236212,0.564923
0.537006,0.871635
0.42836,0.808784
0.712258,0.805594
0.0748372,0.633323
0.913021,0.905806
0.347061,0.0525899
0.967458,0.612635
0.730569,0.0930526
0.630166,0.52704
0.383482,0.793876
0.33489,0.295759
0.719134,0.944646
0.912143,0.586816
0.92084,0.735406
0.278408,0.743264
