seed_x,seed_y
0.994246,0.0311416
0.963122,0.779344
0.775536,0.380475
0.767839,0.043882
0.968978,0.269433
0.565664,0.123959
0.307292,0.5315
0.846344,0.381533
0.440925,0.571172
0.693947,0.932961
0.0559719,0.270895
0.137537,0.937685
0.378629,0.461288
0.433715,0.243541
0.00725958,0.313128
0.477517,0.93063
0.598803,0.758019
0.347531,0.810476
0.31556,0.773746
0.904182,0.950416
0.0855807,0.00588291
0.749646,0.310211
0.892668,0.194565
0.458338,0.365834
0.385712,0.912406
0.0967706,0.596861
0.769582,0.673705
0.769988,0.923304
0.785283,0.615738
0.249307,0.903123
