seed_x,seed_y
0.969289,0.0177032
0.980692,0.760283
0.76142,0.365886
0.771293,0.062666
0.944456,0.281759
0.560804,0.1137
0.326055,0.544677
0.84599,0.378786
0.431529,0.555511
0.698749,0.9214
0.0454663,0.255392
0.121583,0.921988
0.366545,0.463201
0.421669,0.248717
0.00526426,0.329478
0.48138,0.943454
0.587735,0.761315
0.371215,0.834885
0.299928,0.764627
0.904756,0.94752
0.10256,0.00217601
0.76379,0.329849
0.882142,0.187974
0.469495,0.376302
0.385567,0.904709
0.112233,0.577309
0.766307,0.698336
0.790295,0.901454
0.794085,0.623508
0.251197,0.892743
