seed_x,seed_y
0.0608416,0.539111
0.298977,0.493421
0.688018,0.931956
0.637274,0.67127
0.100911,0.19794
0.749344,0.511755
0.408615,0.0334234
0.859739,0.485336
0.796075,0.831136
0.512418,0.625425
0.453084,0.856926
0.740613,0.463621
0.835436,0.388981
0.889034,0.0478905
0.0826829,0.309858
0.331502,0.445852
0.981745,0.633413
0.551209,0.112368
0.906423,0.881342
0.882485,0.939409
0.557604,0.146004
0.215016,0.439821
0.705307,0.443731
0.0365783,0.0329529
0.391187,0.793876
0.489513,0.663339
0.89341,0.264828
0.00235185,0.24596
0.452551,0.322003
0.177883,0.701743
