seed_x,seed_y
0.614894,0.24078
0.68903,0.916588
0.995744,0.60807
0.713955,0.254263
0.645292,0.0771418
0.641468,0.284002
0.0145796,0.325945
0.851872,0.424372
0.587495,0.815476
0.619031,0.88209
0.219859,0.512749
0.386425,0.812105
0.567153,0.431447
0.621624,0.162796
0.0383866,0.0580629
0.417257,0.730562
0.771459,0.706594
0.025436,0.42969
0.559408,0.915991
0.895228,0.995606
0.180664,0.0637106
0.529006,0.00385998
0.938982,0.297396
0.284278,0.202534
0.387972,0.964744
0.14625,0.901874
0.820686,0.289459
0.453185,0.731025
0.647965,0.494515
0.219831,0.932189
