seed_x,seed_y
0.140705,0.496108
0.355201,0.554418
0.733188,0.88527
0.648328,0.611161
0.179381,0.158496
0.733794,0.478926
0.348571,0.0755887
0.858605,0.476549
0.766009,0.88125
0.527786,0.662422
0.419466,0.807315
0.689559,0.513853
0.796765,0.395103
0.850488,0.0644535
0.0762978,0.257537
0.343863,0.486891
0.981745,0.643962
0.475422,0.0342578
0.856403,0.91052
0.884322,0.948678
0.50327,0.134141
0.260276,0.37698
0.73899,0.422638
0.0722827,0.00364257
0.390724,0.818506
0.440034,0.725905
0.882928,0.186008
0.0673368,0.315879
0.480719,0.34687
0.183929,0.73496
