seed_x,seed_y
0.155679,0.488045
0.365743,0.565855
0.741658,0.876516
0.6504,0.599891
0.194094,0.1511
0.730879,0.47277
0.337313,0.0834946
0.858392,0.474901
0.760372,0.890646
0.530667,0.669359
0.413163,0.798013
0.679986,0.523272
0.789514,0.39625
0.843261,0.0675591
0.0751006,0.247726
0.346181,0.494585
0.975105,0.64594
0.461212,0.0196121
0.847024,0.915991
0.884666,0.950416
0.493083,0.131917
0.268762,0.365197
0.745306,0.418683
0.0789773,0.00992336
0.390637,0.823124
0.430756,0.737637
0.880962,0.17123
0.0795215,0.328989
0.486001,0.351532
0.185063,0.741188
