seed_x,seed_y
0.550005,0.211215
0.720656,0.440049
0.524273,0.120784
0.829322,0.378238
0.532493,0.488842
0.479169,0.0603524
0.641283,0.766042
0.840037,0.332651
0.273682,0.292412
0.779429,0.727166
0.133713,0.00733739
0.14711,0.65827
0.163519,0.495337
0.219307,0.335672
0.02841,0.604164
0.546277,0.840856
0.401797,0.816695
0.769098,0.747011
0.0373219,0.611439
0.914399,0.898854
0.387811,0.0614865
0.995745,0.659766
0.705307,0.0772325
0.656945,0.552164
0.383134,0.775404
0.372,0.248834
0.711272,0.885531
0.863404,0.534376
0.941966,0.754055
0.282943,0.718351
