seed_x,seed_y
0.709732,0.189714
0.755796,0.989022
0.942103,0.552631
0.727081,0.182884
0.738474,0.123982
0.623003,0.245017
0.0858812,0.376016
0.850525,0.413937
0.551792,0.755966
0.637279,0.926024
0.179938,0.453836
0.325799,0.871756
0.521231,0.438716
0.575851,0.182465
0.0308044,0.120194
0.431935,0.779297
0.729402,0.719121
0.0680662,0.522446
0.500009,0.881342
0.897409,0.984599
0.116143,0.0496244
0.582752,0.0784839
0.97898,0.272348
0.326677,0.242313
0.387421,0.993992
0.0874932,0.827576
0.808238,0.383058
0.530354,0.814055
0.681414,0.524044
0.227011,0.971634
