seed_x,seed_y
0.814553,0.133273
0.82959,0.924212
0.882817,0.491355
0.741588,0.103991
0.841465,0.175752
0.602594,0.201929
0.164688,0.431358
0.849037,0.402403
0.512331,0.690192
0.657449,0.974583
0.135814,0.388722
0.25879,0.937685
0.470474,0.44675
0.52526,0.204204
0.022424,0.188865
0.448159,0.833161
0.682918,0.732966
0.167537,0.624965
0.434358,0.843045
0.899819,0.972432
0.0448306,0.0340554
0.642155,0.160963
0.972665,0.244663
0.373539,0.286278
0.386813,0.970901
0.0225516,0.745458
0.794479,0.486509
0.615648,0.905824
0.718385,0.556681
0.234947,0.982015
