seed_x,seed_y
0.604911,0.181651
0.75931,0.481984
0.555328,0.15288
0.821723,0.336913
0.58644,0.461724
0.489859,0.0377823
0.600003,0.737054
0.840816,0.338693
0.294353,0.326866
0.768864,0.752601
0.110601,0.0290422
0.11201,0.692804
0.190106,0.491128
0.245807,0.324285
0.0240203,0.568193
0.537778,0.86907
0.426146,0.809443
0.716994,0.800712
0.0717109,0.6315
0.913136,0.905227
0.350457,0.0533313
0.970286,0.616563
0.728464,0.0917343
0.632398,0.529134
0.383453,0.792337
0.337982,0.291849
0.718479,0.93972
0.908081,0.582446
0.922601,0.73696
0.278785,0.741188
