seed_x,seed_y
0.525048,0.224654
0.703086,0.420988
0.510158,0.106194
0.832776,0.397022
0.507971,0.501169
0.47431,0.0706115
0.660046,0.779219
0.839682,0.329905
0.264287,0.276752
0.784231,0.715605
0.144219,0.0228408
0.163064,0.642572
0.151434,0.497249
0.207262,0.340848
0.0304053,0.620514
0.55014,0.828031
0.390729,0.819992
0.792782,0.722602
0.0216906,0.602321
0.914973,0.895957
0.40479,0.0651934
0.981601,0.679404
0.694781,0.0706408
0.668102,0.562632
0.382989,0.767707
0.387462,0.229282
0.707996,0.8609
0.843096,0.512527
0.950768,0.761826
0.284832,0.707971
