seed_x,seed_y
0.779613,0.0875827
0.8823,0.615415
0.654139,0.255006
0.797544,0.205425
0.758092,0.375439
0.523874,0.0357305
0.468658,0.644818
0.843297,0.357916
0.360122,0.43649
0.735247,0.833532
0.0370618,0.137566
0.000329434,0.802687
0.2747,0.477738
0.330125,0.288054
0.010053,0.45374
0.510737,0.958844
0.503621,0.786368
0.551209,0.971577
0.18113,0.695328
0.909118,0.925504
0.231602,0.027383
0.871281,0.479097
0.802145,0.137876
0.554294,0.455858
0.384467,0.846214
0.229746,0.428713
0.74141,0.885531
0.944636,0.735395
0.860984,0.682565
0.265558,0.813851
