seed_x,seed_y
0.535031,0.219278
0.710114,0.428612
0.515804,0.11203
0.831394,0.389509
0.51778,0.496238
0.476253,0.0665079
0.652541,0.773948
0.839824,0.331004
0.268045,0.283016
0.78231,0.720229
0.140017,0.0166394
0.156682,0.648851
0.156268,0.496484
0.21208,0.338778
0.0296072,0.613974
0.548595,0.833161
0.395156,0.818673
0.783308,0.732366
0.0279431,0.605968
0.914743,0.897116
0.397999,0.0637106
0.987258,0.671549
0.698992,0.0732775
0.663639,0.558445
0.383047,0.770786
0.381277,0.237103
0.709306,0.870753
0.851219,0.521267
0.947247,0.758718
0.284076,0.712123
