seed_x,seed_y
0.964297,0.0150156
0.984206,0.756471
0.758597,0.362968
0.771984,0.0664228
0.939552,0.284224
0.559833,0.111648
0.329808,0.547312
0.845919,0.378237
0.42965,0.552379
0.69971,0.919087
0.0433651,0.252291
0.118392,0.918848
0.364128,0.463583
0.41926,0.249752
0.00486519,0.332748
0.482152,0.946019
0.585522,0.761974
0.375951,0.839767
0.296802,0.762804
0.904871,0.94694
0.105956,0.00143463
0.766619,0.333776
0.880037,0.186655
0.471727,0.378396
0.385538,0.90317
0.115325,0.573399
0.765651,0.703262
0.794357,0.897084
0.795846,0.625062
0.251575,0.890667
