seed_x,seed_y
0.195611,0.466543
0.393855,0.596353
0.764243,0.853173
0.655927,0.569836
0.233328,0.131378
0.723104,0.456356
0.307292,0.104577
0.857825,0.470507
0.745339,0.915703
0.538351,0.687857
0.396354,0.773208
0.654459,0.548388
0.770178,0.399311
0.823988,0.0758406
0.0719081,0.221566
0.352361,0.515105
0.957396,0.651214
0.423318,0.0196121
0.822014,0.930581
0.885584,0.955051
0.465916,0.125986
0.291392,0.333776
0.762147,0.408136
0.0968295,0.0266721
0.390405,0.835439
0.406017,0.76892
0.875721,0.13182
0.112014,0.363948
0.500085,0.363966
0.188086,0.757797
