seed_x,seed_y
0.315406,0.402039
0.478191,0.687849
0.831999,0.783144
0.672506,0.479673
0.351032,0.0722112
0.69978,0.407112
0.217226,0.167825
0.856124,0.457326
0.700241,0.990874
0.561402,0.743352
0.345927,0.698791
0.577878,0.623735
0.712171,0.408493
0.76617,0.100685
0.0623305,0.143084
0.370903,0.576664
0.904271,0.667037
0.309638,0.136777
0.746984,0.974348
0.88834,0.968956
0.384415,0.108193
0.359282,0.239514
0.812671,0.376496
0.150386,0.0769185
0.38971,0.872383
0.331797,0.86277
0.859996,0.0135903
0.209492,0.468827
0.542336,0.401266
0.197156,0.807623
