seed_x,seed_y
0.699749,0.130585
0.826076,0.554418
0.608969,0.20832
0.808597,0.265534
0.679623,0.414884
0.508324,0.00290124
0.528701,0.686983
0.842163,0.349128
0.330056,0.386376
0.750615,0.796535
0.0706797,0.0879552
0.0513835,0.752455
0.236028,0.483859
0.29158,0.304617
0.0164381,0.506061
0.523099,0.917805
0.468204,0.796917
0.626997,0.893467
0.13111,0.666149
0.910955,0.916234
0.285935,0.0392451
0.916541,0.541939
0.768463,0.116783
0.589998,0.489356
0.384003,0.821584
0.279226,0.366147
0.730927,0.964351
0.985251,0.665476
0.889151,0.707431
0.271605,0.780634
