seed_x,seed_y
0.844502,0.0526429
0.927982,0.664975
0.690841,0.292939
0.788564,0.156586
0.821848,0.343391
0.536508,0.0624042
0.419873,0.610559
0.844218,0.365056
0.384551,0.477208
0.722761,0.863592
0.00974724,0.177875
0.0418108,0.8435
0.30612,0.472765
0.361443,0.274596
0.00486519,0.411229
0.500694,0.992189
0.532397,0.777797
0.489632,0.956931
0.221772,0.719036
0.907626,0.933036
0.187456,0.017745
0.834508,0.428039
0.829513,0.155015
0.525284,0.428642
0.384843,0.866226
0.189544,0.479549
0.749927,0.821491
0.891835,0.792205
0.838097,0.662362
0.260645,0.840841
