seed_x,seed_y
0.000944073,0.571363
0.256809,0.447674
0.654139,0.96697
0.628985,0.716352
0.0420589,0.227523
0.761006,0.536377
0.453647,0.00179944
0.860589,0.491927
0.818624,0.793551
0.500893,0.597677
0.478297,0.894135
0.778903,0.425947
0.86444,0.384391
0.917943,0.0354682
0.0874718,0.349098
0.322231,0.415072
0.955183,0.625502
0.60805,0.17095
0.943939,0.859458
0.881107,0.932456
0.598354,0.1549
0.181071,0.486952
0.680045,0.459551
0.00980005,0.0580761
0.391535,0.775404
0.526623,0.616414
0.901272,0.323943
0.0510906,0.193521
0.431425,0.303353
0.173348,0.67683
0.236434,0.884741
0.337906,0.0636229
0.142864,0.201164
0.409487,0.330003
0.554651,0.566596
0.174859,0.631421
0.318666,0.312733
0.923283,0.801537
0.973511,0.370865
0.0162612,0.946744
0.258947,0.61378
0.769708,0.566844
0.134537,0.25141
0.789909,0.683647
0.33794,0.710604
0.555445,0.907909
0.659369,0.412242
0.313923,0.360209
0.64747,0.0290696
0.219502,0.567365
